SEXO;FECHA_NACIMIENTO;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;DISCAPACIDAD;PERIODO_MATRICULA;FACULTAD;ESCUELA_PROFESIONAL;CICLO;NOTA_PROMEDIO;PERIODO_INGRESO;PERIODO_PRIMERA_MATRICULA;FECHA_MATRICULA;CREDITOS_MATRICULADOS
FEMENINO;19971111;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;2;11.75;2017-1;2017-1;20230926;21
FEMENINO;19930527;50115;AYACUCHO;HUAMANGA;JESUS NAZARENO;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;9;12;2012-1;2012-1;20230926;8
FEMENINO;20040706;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;1;0;2023-1;2023-1;20230926;20
FEMENINO;20010702;50208;AYACUCHO;CANGALLO;TOTOS;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;4;12.92;2020-2;2022-1;20230926;25
MASCULINO;20031105;50204;AYACUCHO;CANGALLO;CHUSCHI;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;2;15.25;2022-1;2022-1;20230926;22
FEMENINO;20001219;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;7;15.45;2000-1;2022-1;20230926;22
MASCULINO;20000222;50112;AYACUCHO;HUAMANGA;SOCOS;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;8;11;2018-1;2018-1;20230926;20
FEMENINO;20020115;50201;AYACUCHO;CANGALLO;CANGALLO;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;3;2.89;2019-1;2019-1;20230926;22
FEMENINO;19970106;100406;ICA;PISCO;SAN ANDRES;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;9;11.17;2019-1;2019-1;20230926;24
FEMENINO;20030108;50103;AYACUCHO;HUAMANGA;CARMEN ALTO;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;2;13.19;2022-1;2022-1;20230926;23
FEMENINO;19960427;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;4;13.23;2021-1;2022-1;20230926;22
FEMENINO;20050221;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;1;0;2023-1;2023-1;20230926;21
FEMENINO;19960715;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;ENFERMERÍA;10;0;2017-1;2022-1;20230926;4
FEMENINO;19930205;50101;AYACUCHO;HUAMANGA;AYACUCHO;NO;2023-1;CIENCIAS DE LA SALUD;OBSTETRICIA;1;6.29;2011-1;2011-1;20230926;6
FEMENINO;19950529;50115;AYACUCHO;HUAMANGA;JESUS NAZARENO;NO;2023-1;CIENCIAS DE LA SALUD;MEDICINA HUMANA;6;10.43;2016-1;2016-1;20230926;11
FEMENINO;20010301;50107;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;NO;2023-1;CIENCIAS DE LA SALUD;FARMACIA Y BIOQUÍMICA;10;14.57;2019-1;2019-1;20230926;20
